"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","ccp_alpha","class_weight","criterion","max_depth","max_features","min_samples_leaf","min_samples_split","oversample","random_state","random_state_split","splitter","test_size","undersample","accuracy_train","accuracy_val","f1_train","f1_val","precision_train","precision_val","recall_train","recall_val"
"quiet-sweep-882","94s1kqfp","finished","-","7ben18","","2023-06-03T18:34:58.000Z","98","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","8869","1832","best","0.2","false","0.9574721042780338","0.7717486883371926","0.9584114151515064","0.7723629798995303","0.9618901377278576","0.7872708761200491","0.9574721042780338","0.7717486883371926"
"distinctive-sweep-881","94s1kqfp","finished","-","7ben18","","2023-06-03T18:33:16.000Z","95","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","8237","6529","best","0.2","false","0.9703095016224618","0.800090843508697","0.970310948706494","0.8050165474069647","0.9703885314398696","0.8484802041979479","0.9703095016224618","0.800090843508697"
"glowing-sweep-880","94s1kqfp","finished","-","7ben18","","2023-06-03T18:31:38.000Z","94","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","7148","3388","best","0.2","false","0.9587504040616888","0.7033836818151837","0.9589171565337544","0.7106142356337076","0.9594417919626226","0.8067447283037902","0.9587504040616888","0.7033836818151837"
"copper-sweep-879","94s1kqfp","finished","-","7ben18","","2023-06-03T18:30:01.000Z","96","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","3589","6588","best","0.2","false","0.9661120177739272","0.8343714563639002","0.965572637971342","0.8260289495923161","0.967085457458242","0.8417676163238597","0.9661120177739272","0.8343714563639002"
"winter-sweep-878","94s1kqfp","finished","-","7ben18","","2023-06-03T18:28:25.000Z","91","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","6937","4751","best","0.2","false","0.9704440268862632","0.7003822477395188","0.9704390112159562","0.7146072919851281","0.9705138631917832","0.7875897194065012","0.9704440268862632","0.7003822477395188"
"proud-sweep-877","94s1kqfp","finished","-","7ben18","","2023-06-03T18:26:43.000Z","100","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","6625","8288","best","0.2","false","0.9639169499117328","0.7032617015013247","0.9642418467628376","0.7070514117194184","0.9655597798471786","0.7476645528504411","0.9639169499117328","0.7032617015013247"
"prime-sweep-876","94s1kqfp","finished","-","7ben18","","2023-06-03T18:25:01.000Z","96","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","6647","9303","best","0.2","false","0.9759434145835224","0.5827432038067308","0.976011385412502","0.6157961826711531","0.9761383126234432","0.7717085719227412","0.9759434145835224","0.5827432038067308"
"prime-sweep-875","94s1kqfp","finished","-","7ben18","","2023-06-03T18:23:19.000Z","96","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","9273","3870","best","0.2","false","0.9103528892367276","0.8609535396784402","0.9096280207023668","0.8569573396139966","0.9099557609802108","0.87369099215018","0.9103528892367276","0.8609535396784402"
"wise-sweep-874","94s1kqfp","finished","-","7ben18","","2023-06-03T18:21:40.000Z","93","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","2407","2312","best","0.2","false","0.9711657051494432","0.7735121666001825","0.9712799102484734","0.7769062511869361","0.9715359833883476","0.8098297695817351","0.9711657051494432","0.7735121666001825"
"sage-sweep-873","94s1kqfp","finished","-","7ben18","","2023-06-03T18:20:00.000Z","95","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","368","1431","best","0.2","false","0.9230948421723671","0.7673469647586066","0.9268436722296344","0.7726403902420028","0.9347376744579472","0.7980432837689478","0.9230948421723671","0.7673469647586066"
"earthy-sweep-872","94s1kqfp","finished","-","7ben18","","2023-06-03T18:18:22.000Z","93","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","5330","6835","best","0.2","false","0.9687340024864708","0.7542303286126657","0.9686662238752134","0.7695725800186902","0.9686898726216286","0.8153978644181026","0.9687340024864708","0.7542303286126657"
"rural-sweep-871","94s1kqfp","finished","-","7ben18","","2023-06-03T18:16:44.000Z","94","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","1574","7155","best","0.2","false","0.9762324602649424","0.7152920148002289","0.9762942747170724","0.7151989295900475","0.9765108494275758","0.727264763166727","0.9762324602649424","0.7152920148002289"
"sage-sweep-870","94s1kqfp","finished","-","7ben18","","2023-06-03T18:15:07.000Z","93","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","3059","4571","best","0.2","false","0.9712115358140484","0.8524547293856409","0.9713905877931536","0.8603839239419601","0.9718349497769788","0.8791596420868236","0.9712115358140484","0.8524547293856409"
"lilac-sweep-869","94s1kqfp","finished","-","7ben18","","2023-06-03T18:13:26.000Z","95","uxvqzsec","0","balanced","gini","10","sqrt","10","10","false","9041","6996","best","0.2","false","0.9594578400774576","0.788567265773508","0.959950845336463","0.7917760228495002","0.9619912897920386","0.8077848881699808","0.9594578400774576","0.788567265773508"
