"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","ccp_alpha","class_weight","criterion","max_depth","max_features","min_samples_leaf","min_samples_split","oversample","random_state","random_state_split","splitter","test_size","undersample","accuracy_train","accuracy_val","f1_train","f1_val","precision_train","precision_val","recall_train","recall_val"
"fine-sweep-289","wz7g5kpj","finished","-","7ben18","","2023-06-03T02:58:37.000Z","111","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","5504","9487","best","0.2","false","0.972959627050839","0.7338173046185099","0.9730800760455298","0.7246896770949106","0.9738740649426202","0.7385662188854433","0.972959627050839","0.7338173046185099"
"lilac-sweep-801","wz7g5kpj","finished","-","7ben18","","2023-06-03T18:09:27.000Z","92","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","7398","9487","best","0.2","false","0.965373937315904","0.7606609336776452","0.965768399236818","0.7540554902737572","0.96689810198613","0.7628464521708043","0.965373937315904","0.7606609336776452"
"wise-sweep-668","wz7g5kpj","finished","-","7ben18","","2023-06-03T14:31:18.000Z","95","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","591","8425","best","0.2","false","0.9706292628250078","0.8079200572103455","0.97088619372256","0.8089743906037666","0.9716553971820102","0.821516729719768","0.9706292628250078","0.8079200572103455"
"honest-sweep-795","wz7g5kpj","finished","-","7ben18","","2023-06-03T17:59:32.000Z","95","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","7225","6392","best","0.2","false","0.95879922137874","0.8097219871686385","0.9589653669879554","0.8105259881153107","0.9592490608967728","0.8318238834265851","0.95879922137874","0.8097219871686385"
"effortless-sweep-700","wz7g5kpj","finished","-","7ben18","","2023-06-03T15:24:00.000Z","98","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","6036","4013","best","0.2","false","0.943061906865028","0.8139030645971601","0.9440467882453476","0.8191193851138358","0.9466396600034817","0.8338848665598537","0.943061906865028","0.8139030645971601"
"royal-sweep-499","wz7g5kpj","finished","-","7ben18","","2023-06-03T09:53:42.000Z","96","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","4773","596","best","0.2","false","0.973931906671741","0.5861503588968644","0.9739975244829342","0.6073747365238816","0.9743056478132968","0.7983545677878736","0.973931906671741","0.5861503588968644"
"crisp-sweep-788","wz7g5kpj","finished","-","7ben18","","2023-06-03T17:48:08.000Z","93","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","3171","3107","best","0.2","false","0.9745127067886256","0.8575509354299261","0.9746822407344417","0.8580181318138597","0.9752683275701454","0.8692392518089453","0.9745127067886256","0.8575509354299261"
"balmy-sweep-775","wz7g5kpj","finished","-","7ben18","","2023-06-03T17:26:55.000Z","98","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","9236","9039","best","0.2","false","0.963961851074013","0.7564183978953098","0.9645175762170686","0.7674691700274751","0.9659050161057814","0.8108560243307489","0.963961851074013","0.7564183978953098"
"vague-sweep-109","wz7g5kpj","finished","-","7ben18","","2023-06-02T20:13:21.000Z","139","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","4942","9088","best","0.2","false","0.973921687401954","0.6258162190020845","0.9739856818456516","0.6403249415482463","0.9740771228545818","0.7637977480348246","0.973921687401954","0.6258162190020845"
"giddy-sweep-640","wz7g5kpj","finished","-","7ben18","","2023-06-03T13:45:06.000Z","93","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","2083","3550","best","0.2","false","0.9719264756336774","0.7147929513181072","0.9721544410488396","0.7101114875636714","0.9726865685004152","0.7411835507107574","0.9719264756336774","0.7147929513181072"
