"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","bootstrap","class_weight","criterion","max_depth","max_features","min_samples_leaf","min_samples_split","n_estimators","oversample","random_state","random_state_split","test_size","undersample","accuracy_train","accuracy_val","f1_train","f1_val","precision_train","precision_val","recall_train","recall_val"
"sunny-sweep-885","l3zf8vab","finished","-","7ben18","","2023-06-03T18:34:41.000Z","95","ednseq2z","false","","gini","10","sqrt","5","10","6","false","588","9020","0.2","false","0.9901984782121858","0.7604841760181567","0.99015324909321","0.7543953624177322","0.9903457030762832","0.7755893842772521","0.9901984782121858","0.7604841760181567"
"revived-sweep-884","l3zf8vab","finished","-","7ben18","","2023-06-03T18:33:03.000Z","93","ednseq2z","false","","gini","10","sqrt","5","10","6","false","1251","7521","0.2","false","0.9893767882504","0.6723396887192133","0.989267893081474","0.6823052530285774","0.989571952519262","0.698305947631929","0.9893767882504","0.6723396887192133"
"fluent-sweep-883","l3zf8vab","finished","-","7ben18","","2023-06-03T18:31:27.000Z","91","ednseq2z","false","","gini","10","sqrt","5","10","6","false","217","9990","0.2","false","0.984629491009182","0.7814807723352893","0.9844669097000284","0.7738678961488948","0.9851023925209098","0.8163185272414866","0.984629491009182","0.7814807723352893"
"feasible-sweep-882","l3zf8vab","finished","-","7ben18","","2023-06-03T18:29:44.000Z","98","ednseq2z","false","","gini","10","sqrt","5","10","6","false","1998","9397","0.2","false","0.9804539318258522","0.6827788053530628","0.9801511081597064","0.6875079426110525","0.9814540674736736","0.7683776161456457","0.9804539318258522","0.6827788053530628"
"crisp-sweep-881","l3zf8vab","finished","-","7ben18","","2023-06-03T18:28:09.000Z","90","ednseq2z","false","","gini","10","sqrt","5","10","6","false","3076","8762","0.2","false","0.9826530042547889","0.8694143777045718","0.9825811785212828","0.8637502457423972","0.9829742065789218","0.8832436326443724","0.9826530042547889","0.8694143777045718"
"silver-sweep-880","l3zf8vab","finished","-","7ben18","","2023-06-03T18:26:33.000Z","92","ednseq2z","false","","gini","10","sqrt","5","10","6","false","449","9774","0.2","false","0.984065483789976","0.8491775729155954","0.9838665733730244","0.8472455882756557","0.9843385561979088","0.8478267346924059","0.984065483789976","0.8491775729155954"
"jumping-sweep-879","l3zf8vab","finished","-","7ben18","","2023-06-03T18:24:52.000Z","95","ednseq2z","false","","gini","10","sqrt","5","10","6","false","2878","4749","0.2","false","0.9770890075299928","0.8916116573944693","0.9767298770682192","0.8914254490453596","0.9778511890824774","0.9029678460855944","0.9770890075299928","0.8916116573944693"
"polished-sweep-878","l3zf8vab","finished","-","7ben18","","2023-06-03T18:23:16.000Z","90","ednseq2z","false","","gini","10","sqrt","5","10","6","false","3798","4627","0.2","false","0.9933645392236898","0.7347217027006808","0.9933567364945354","0.742843690863443","0.9934091672481784","0.7712320612403109","0.9933645392236898","0.7347217027006808"
"different-sweep-877","l3zf8vab","finished","-","7ben18","","2023-06-03T18:21:43.000Z","90","ednseq2z","false","","gini","10","sqrt","5","10","6","false","9816","7511","0.2","false","0.9845861371520862","0.905480990017399","0.9844969115642132","0.9169635362141908","0.9848150691712146","0.937219008681728","0.9845861371520862","0.905480990017399"
"ethereal-sweep-876","l3zf8vab","finished","-","7ben18","","2023-06-03T18:20:05.000Z","93","ednseq2z","false","","gini","10","sqrt","5","10","6","false","6882","5323","0.2","false","0.984824246178162","0.8875438885231512","0.9846940508906395","0.887477146688808","0.985072820064838","0.8952689602689987","0.984824246178162","0.8875438885231512"
