"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","alpha","loss","oversample","penalty","random_state","random_state_split","test_size","undersample","accuracy_train","accuracy_val","f1_train","f1_val","precision_train","precision_val","recall_train","recall_val"
"stilted-sweep-107","h988r7ow","finished","-","7ben18","","2023-06-04T09:48:58.000Z","361","87ys4h5o","0.000001","squared_hinge","false","l2","1493","4185","0.2","false","0.8910633892366124","0.8422749739646831","0.8909647018637084","0.8395386956282438","0.8932220811410434","0.8567156942899311","0.8910633892366124","0.8422749739646831"
"gallant-sweep-106","h988r7ow","finished","-","7ben18","","2023-06-04T09:43:30.000Z","326","87ys4h5o","0.000001","squared_hinge","false","l2","7606","4160","0.2","false","0.8513261826550872","0.7932644584293053","0.8412196383310991","0.7853581022350926","0.8544720341934909","0.8240825884844153","0.8513261826550872","0.7932644584293053"
"dashing-sweep-105","h988r7ow","finished","-","7ben18","","2023-06-04T09:38:18.000Z","306","87ys4h5o","0.000001","squared_hinge","false","l2","4419","8116","0.2","false","0.8773974883045065","0.6130309280803532","0.878128235270716","0.6029576731228794","0.8793857138617798","0.767396779658414","0.8773974883045065","0.6130309280803532"
"polished-sweep-104","h988r7ow","finished","-","7ben18","","2023-06-04T09:31:10.000Z","424","87ys4h5o","0.000001","squared_hinge","false","l2","8019","3715","0.2","false","0.8848990322234791","0.6769686395824476","0.8848583619534064","0.6668958445826085","0.8908064765086737","0.7594285568826767","0.8848990322234791","0.6769686395824476"
"logical-sweep-103","h988r7ow","finished","-","7ben18","","2023-06-04T09:23:27.000Z","460","87ys4h5o","0.000001","squared_hinge","false","l2","3946","7042","0.2","false","0.8997272591643204","0.6771279286305694","0.8979644088828793","0.7013731531759669","0.902446656661014","0.7884668603399347","0.8997272591643204","0.6771279286305694"
"happy-sweep-102","h988r7ow","finished","-","7ben18","","2023-06-04T09:15:55.000Z","449","87ys4h5o","0.000001","squared_hinge","false","l2","6403","9060","0.2","false","0.9034139241477802","0.6963635051287329","0.9037698293292216","0.6797023800953638","0.9107645988000024","0.6786112215291965","0.9034139241477802","0.6963635051287329"
"unique-sweep-101","h988r7ow","finished","-","7ben18","","2023-06-04T09:02:39.000Z","792","87ys4h5o","0.000001","squared_hinge","false","l2","9620","692","0.2","false","0.887177241188095","0.7298481053552099","0.8882422174676299","0.7227228143141099","0.8912848472098205","0.7441433231791398","0.887177241188095","0.7298481053552099"
"vibrant-sweep-100","h988r7ow","finished","-","7ben18","","2023-06-04T08:56:40.000Z","357","87ys4h5o","0.000001","squared_hinge","false","l2","8535","8645","0.2","false","0.8858627901410266","0.7527485745288524","0.8868271538364223","0.7539070283015897","0.8887718431016897","0.7941603554160286","0.8858627901410266","0.7527485745288524"
"driven-sweep-99","h988r7ow","finished","-","7ben18","","2023-06-04T08:49:34.000Z","421","87ys4h5o","0.000001","squared_hinge","false","l2","4394","4337","0.2","false","0.864347539388524","0.7509924840496015","0.8672199771765118","0.7564508604685495","0.8728702011087577","0.821996178926799","0.864347539388524","0.7509924840496015"
"firm-sweep-98","h988r7ow","finished","-","7ben18","","2023-06-04T08:43:20.000Z","369","87ys4h5o","0.000001","squared_hinge","false","l2","4957","2938","0.2","false","0.8924623137412947","0.8062655844614717","0.8917576158805524","0.8087699321174927","0.8924661139625795","0.8317441202298045","0.8924623137412947","0.8062655844614717"
